@relation 'mushroom-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2-3,6,10-11,16-18'

@attribute cap-shape {b,c,f,k,s,x}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-spacing {c,d,w}
@attribute gill-size {b,n}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute class {e,p}

@data
x,t,p,c,n,w,s,s,w,w,p,n,v,u,p
f,t,a,c,b,n,s,y,w,w,p,n,y,g,e
x,f,n,w,b,k,f,s,w,w,e,n,s,g,e
x,t,p,c,n,w,s,s,w,w,p,k,s,g,p
f,f,n,c,n,n,s,s,w,w,p,n,y,u,e
x,f,n,w,b,n,s,s,w,w,e,n,s,g,e
x,t,l,c,b,w,s,y,w,w,p,k,s,g,e
x,f,n,w,b,k,s,s,w,w,e,k,s,g,e
b,t,a,c,b,w,s,s,w,w,p,k,s,g,e
x,t,l,c,b,n,s,s,w,w,p,n,s,g,e
f,t,l,c,b,w,s,y,w,w,p,k,y,g,e
s,f,n,c,n,n,s,s,w,w,p,n,v,u,e
x,f,n,c,n,n,s,s,w,w,p,n,y,u,e
b,t,l,c,b,k,s,s,w,w,p,k,s,g,e
x,t,a,c,b,g,s,s,w,w,p,k,s,g,e
x,t,l,c,b,g,s,s,w,w,p,k,n,m,e
x,f,n,w,b,n,s,s,w,w,e,n,a,g,e
x,t,a,c,b,g,s,s,w,w,p,n,s,g,e
f,t,l,c,b,p,s,y,w,w,p,n,s,g,e
x,t,a,c,b,n,s,s,w,w,p,k,n,g,e
b,t,a,c,b,g,s,s,w,w,p,n,s,g,e
x,t,a,c,b,g,s,s,w,w,p,k,s,g,e
x,f,n,w,b,p,f,s,w,w,e,k,s,g,e
b,t,l,c,b,n,s,s,w,w,p,k,n,g,e
f,t,l,c,b,w,s,y,w,w,p,n,s,g,e
x,t,a,c,b,n,s,y,w,w,p,k,y,p,e
b,t,l,c,b,g,s,s,w,w,p,n,n,g,e
x,t,a,c,b,n,s,s,w,w,p,k,n,m,e
x,t,a,c,b,w,s,y,w,w,p,n,y,g,e
b,t,l,c,b,n,s,s,w,w,p,k,s,m,e
b,t,a,c,b,g,s,s,w,w,p,n,s,m,e
x,t,a,c,b,k,s,s,w,w,p,k,n,m,e
x,t,l,c,b,w,s,s,w,w,p,k,n,g,e
s,f,n,c,n,g,s,s,w,w,p,k,y,u,e
x,t,a,w,n,w,s,s,w,w,p,u,v,d,e
x,t,a,c,b,n,s,s,w,w,p,k,n,m,e
x,t,p,c,n,n,s,s,w,w,p,n,v,u,p
x,t,l,c,b,p,s,y,w,w,p,n,s,g,e
s,f,n,c,n,p,s,s,w,w,p,n,y,u,e
x,t,l,c,b,w,s,y,w,w,p,k,y,g,e
x,t,l,w,n,p,s,s,w,w,p,u,v,d,e
s,f,n,c,n,k,s,s,w,w,p,n,y,u,e
x,t,p,c,n,k,s,s,w,w,p,k,v,g,p
x,t,a,c,b,g,s,s,w,w,p,n,n,m,e
f,t,p,c,n,p,s,s,w,w,p,k,v,g,p
f,f,n,w,b,k,s,s,w,w,e,n,a,g,e
x,t,l,c,b,g,s,s,w,w,p,n,s,m,e
x,f,n,w,b,n,s,f,w,w,e,k,s,g,e
b,t,a,c,b,w,s,s,w,w,p,n,n,g,e
f,f,n,w,b,h,s,s,w,w,e,n,a,g,e
x,t,l,c,b,n,s,s,w,w,p,k,n,g,e
b,t,l,c,b,n,s,s,w,w,p,n,s,m,e
b,t,l,c,b,w,s,s,w,w,p,n,s,g,e
b,t,l,c,b,w,s,s,w,w,p,n,s,m,e
f,t,l,w,n,w,s,s,w,w,p,u,v,d,e
x,t,l,c,b,g,s,s,w,w,p,k,s,m,e
f,t,a,w,n,p,s,s,w,w,p,n,v,d,e
x,t,p,c,n,w,s,s,w,w,p,n,v,u,p
f,t,l,w,n,w,s,s,w,w,p,n,v,d,e
x,t,a,c,b,n,s,s,w,w,p,n,s,g,e
x,t,p,c,n,p,s,s,w,w,p,n,v,g,p
b,t,l,c,b,w,s,s,w,w,p,n,n,g,e
x,t,a,c,b,w,s,y,w,w,p,k,y,p,e
b,t,l,c,b,g,s,s,w,w,p,k,n,m,e
s,f,n,c,n,k,s,s,w,w,p,n,v,u,e
f,t,a,c,b,w,s,y,w,w,p,k,y,p,e
x,t,a,c,b,k,s,s,w,w,p,k,n,g,e
x,f,n,w,b,k,f,f,w,w,e,k,s,g,e
f,f,n,w,b,k,s,f,w,w,e,n,a,g,e
x,t,l,c,b,w,s,s,w,w,p,n,n,m,e
b,t,l,c,b,k,s,s,w,w,p,k,n,g,e
b,t,a,c,b,g,s,s,w,w,p,k,n,m,e
x,t,a,c,b,w,s,s,w,w,p,n,s,g,e
x,f,n,w,b,p,f,s,w,w,e,n,a,g,e
x,t,l,c,b,g,s,s,w,w,p,n,s,g,e
s,f,n,c,n,k,s,s,w,w,p,k,v,u,e
x,t,a,w,n,w,s,s,w,w,p,u,v,d,e
x,t,l,c,b,w,s,y,w,w,p,k,s,g,e
b,t,a,c,b,k,s,s,w,w,p,n,n,g,e
x,t,a,c,b,k,s,s,w,w,p,n,n,g,e
b,t,a,c,b,n,s,s,w,w,p,k,s,m,e
b,t,a,c,b,g,s,s,w,w,p,k,s,g,e
b,t,l,c,b,g,s,s,w,w,p,k,s,m,e
b,t,a,c,b,n,s,s,w,w,p,k,n,g,e
x,f,n,c,n,k,s,s,w,w,p,n,y,u,e
f,t,l,c,b,n,s,y,w,w,p,n,y,g,e
x,t,a,c,b,k,s,s,w,w,p,n,s,g,e
f,t,l,c,b,w,s,y,w,w,p,n,y,p,e
b,t,a,c,b,w,s,s,w,w,p,n,s,g,e
b,t,a,c,b,w,s,s,w,w,p,k,s,m,e
x,t,l,c,b,w,s,y,w,w,p,k,y,g,e
b,t,a,c,b,k,s,s,w,w,p,k,s,g,e
x,f,n,c,n,g,s,s,w,w,p,n,y,u,e
b,t,l,c,b,k,s,s,w,w,p,n,s,g,e
x,t,l,w,n,n,s,s,w,w,p,u,v,d,e
b,t,a,c,b,w,s,s,w,w,p,k,s,g,e
f,t,l,c,b,p,s,y,w,w,p,n,s,g,e
b,t,l,c,b,w,s,s,w,w,p,k,n,m,e
b,t,a,c,b,k,s,s,w,w,p,k,n,m,e
b,t,a,c,b,g,s,s,w,w,p,n,s,g,e
x,t,l,c,b,g,s,s,w,w,p,n,n,m,e
b,t,l,c,b,g,s,s,w,w,p,n,n,g,e
x,t,p,c,n,p,s,s,w,w,p,n,v,u,p
s,f,n,c,n,g,s,s,w,w,p,n,y,u,e
f,f,n,c,n,g,s,s,w,w,p,k,v,u,e
x,t,a,c,b,g,s,s,w,w,p,n,s,m,e
f,t,a,c,b,p,s,y,w,w,p,k,s,p,e
x,t,p,c,n,k,s,s,w,w,p,k,s,g,p
b,t,l,c,b,g,s,s,w,w,p,n,s,m,e
f,f,n,c,n,p,s,s,w,w,p,k,v,u,e
b,t,l,c,b,g,s,s,w,w,p,n,n,g,e
x,t,a,c,b,w,s,y,w,w,p,n,y,p,e
x,f,n,w,b,p,s,f,w,w,e,k,s,g,e
x,t,l,w,n,w,s,s,w,w,p,n,v,d,e
b,t,l,c,b,w,s,s,w,w,p,n,s,m,e
f,t,a,w,n,w,s,s,w,w,p,n,v,d,e
x,t,a,c,b,k,s,s,w,w,p,n,n,m,e
f,f,n,c,n,g,s,s,w,w,p,n,y,u,e
b,t,a,c,b,n,s,s,w,w,p,k,s,g,e
x,t,l,c,b,g,s,s,w,w,p,n,n,m,e
x,t,l,c,b,n,s,s,w,w,p,n,s,m,e
f,t,a,w,n,n,s,s,w,w,p,n,v,d,e
x,t,l,c,b,w,s,s,w,w,p,n,s,g,e
b,t,l,c,b,w,s,s,w,w,p,k,s,g,e
x,t,a,c,b,g,s,s,w,w,p,k,n,g,e
x,f,n,w,b,h,f,s,w,w,e,k,s,g,e
f,t,l,c,b,n,s,y,w,w,p,k,y,p,e
x,t,p,c,n,k,s,s,w,w,p,n,v,u,p
b,t,a,c,b,n,s,s,w,w,p,n,n,g,e
b,t,a,c,b,k,s,s,w,w,p,k,s,m,e
b,t,l,c,b,n,s,s,w,w,p,n,n,g,e
b,t,a,c,b,w,s,s,w,w,p,k,n,g,e
x,t,a,c,b,w,s,s,w,w,p,k,s,g,e
b,t,l,c,b,w,s,s,w,w,p,k,n,m,e
x,t,a,w,n,n,s,s,w,w,p,n,v,d,e
x,f,n,c,n,n,s,s,w,w,p,n,y,u,e
f,t,a,c,b,n,s,y,w,w,p,n,s,g,e
b,t,l,c,b,n,s,s,w,w,p,k,n,m,e
x,t,a,c,b,g,s,s,w,w,p,k,s,g,e
x,t,a,c,b,k,s,s,w,w,p,k,s,g,e
x,t,l,c,b,w,s,s,w,w,p,n,s,g,e
s,f,n,c,n,p,s,s,w,w,p,n,v,u,e
x,t,a,c,b,n,s,s,w,w,p,n,n,m,e
x,t,p,c,n,k,s,s,w,w,p,k,s,g,p
x,t,a,c,b,n,s,y,w,w,p,n,s,g,e
f,t,a,w,n,p,s,s,w,w,p,n,v,d,e
x,t,l,c,b,g,s,s,w,w,p,k,n,m,e
b,t,l,c,b,n,s,s,w,w,p,k,s,g,e
x,t,a,c,b,g,s,s,w,w,p,n,n,g,e
x,t,a,c,b,g,s,s,w,w,p,n,s,g,e
x,t,p,c,n,p,s,s,w,w,p,k,v,u,p
b,t,a,c,b,n,s,s,w,w,p,n,n,g,e
x,f,n,c,n,n,s,s,w,w,p,k,y,u,e
x,t,p,c,n,k,s,s,w,w,p,k,s,u,p
x,t,l,c,b,n,s,y,w,w,p,n,y,p,e
f,f,n,c,n,k,s,s,w,w,p,k,v,u,e
b,t,l,c,b,k,s,s,w,w,p,n,n,g,e
x,t,l,w,n,w,s,s,w,w,p,n,v,d,e
x,t,l,c,b,w,s,s,w,w,p,k,s,g,e
b,t,l,c,b,n,s,s,w,w,p,n,s,g,e
x,t,l,c,b,n,s,y,w,w,p,k,s,g,e
f,t,a,c,b,p,s,y,w,w,p,k,s,p,e
f,t,a,c,b,w,s,y,w,w,p,k,y,p,e
x,t,l,c,b,w,s,s,w,w,p,k,s,g,e
x,t,a,c,b,w,s,s,w,w,p,n,n,m,e
x,t,p,c,n,n,s,s,w,w,p,k,v,u,p
f,t,a,w,n,p,s,s,w,w,p,u,v,d,e
x,t,l,c,b,w,s,s,w,w,p,n,s,g,e
x,t,l,w,n,p,s,s,w,w,p,u,v,d,e
x,t,a,c,b,n,s,s,w,w,p,k,s,m,e
f,t,l,c,b,w,s,y,w,w,p,k,y,p,e
x,f,n,w,b,p,f,s,w,w,e,k,s,g,e
f,t,a,c,b,w,s,y,w,w,p,n,y,g,e
x,t,p,c,n,p,s,s,w,w,p,n,s,g,p
s,f,n,c,n,g,s,s,w,w,p,n,v,u,e
b,t,l,c,b,w,s,s,w,w,p,n,s,m,e
b,t,l,c,b,n,s,s,w,w,p,n,s,g,e
b,t,l,c,b,k,s,s,w,w,p,n,n,m,e
f,f,n,c,n,k,s,s,w,w,p,n,v,u,e
x,t,a,c,b,w,s,s,w,w,p,k,n,m,e
b,t,l,c,b,g,s,s,w,w,p,k,n,g,e
b,t,a,c,b,g,s,s,w,w,p,n,n,m,e
f,t,l,c,b,w,s,y,w,w,p,n,s,g,e
x,t,p,c,n,k,s,s,w,w,p,k,v,g,p
x,t,a,c,b,n,s,s,w,w,p,n,n,g,e
x,t,a,c,b,n,s,s,w,w,p,n,s,m,e
f,t,l,w,n,w,s,s,w,w,p,u,v,d,e
f,f,n,c,n,g,s,s,w,w,p,k,v,u,e
f,f,n,w,b,p,s,s,w,w,e,k,a,g,e
x,t,a,c,b,g,s,s,w,w,p,n,s,m,e
b,t,a,c,b,k,s,s,w,w,p,n,s,m,e
f,t,p,c,n,w,s,s,w,w,p,k,s,u,p
x,t,l,c,b,n,s,s,w,w,p,k,n,m,e
f,t,p,c,n,w,s,s,w,w,p,k,v,u,p
x,t,l,c,b,k,s,s,w,w,p,n,s,g,e
x,t,a,c,b,k,s,s,w,w,p,n,n,m,e
f,t,a,c,b,n,s,y,w,w,p,n,s,p,e
x,t,a,c,b,w,s,y,w,w,p,n,s,p,e
f,t,a,c,b,w,s,y,w,w,p,n,y,g,e
x,t,a,c,b,w,s,s,w,w,p,n,n,m,e
f,f,n,w,b,h,s,s,w,w,e,k,s,g,e
x,t,l,c,b,k,s,s,w,w,p,n,n,m,e
x,t,p,c,n,w,s,s,w,w,p,n,s,g,p
b,t,a,c,b,n,s,s,w,w,p,n,n,m,e
s,f,n,c,n,p,s,s,w,w,p,n,v,u,e
x,t,l,c,b,k,s,s,w,w,p,k,s,m,e
b,t,l,c,b,n,s,s,w,w,p,k,n,m,e
f,t,a,c,b,n,s,y,w,w,p,k,s,g,e
b,t,a,c,b,g,s,s,w,w,p,k,s,m,e
b,t,a,c,b,g,s,s,w,w,p,k,s,g,e
x,t,l,c,b,n,s,y,w,w,p,n,y,p,e
f,f,n,c,n,p,s,s,w,w,p,n,y,u,e
x,f,n,c,n,g,s,s,w,w,p,k,y,u,e
b,t,l,c,b,n,s,s,w,w,p,k,s,g,e
x,t,l,c,b,n,s,s,w,w,p,k,s,m,e
b,t,l,c,b,k,s,s,w,w,p,n,s,g,e
x,t,a,c,b,g,s,s,w,w,p,k,s,m,e
b,t,a,c,b,g,s,s,w,w,p,n,n,m,e
x,t,a,c,b,k,s,s,w,w,p,k,s,m,e
x,f,n,w,b,p,f,f,w,w,e,k,s,g,e
f,t,a,w,n,p,s,s,w,w,p,n,v,d,e
x,t,p,c,n,p,s,s,w,w,p,k,s,g,p
x,f,n,w,b,k,f,s,w,w,e,k,a,g,e
b,t,a,c,b,w,s,s,w,w,p,k,s,g,e
x,t,l,w,n,w,s,s,w,w,p,n,v,d,e
b,t,a,c,b,n,s,s,w,w,p,k,s,g,e
x,t,l,c,b,g,s,s,w,w,p,k,s,g,e
x,t,n,c,b,p,s,s,g,p,p,n,y,d,e
b,t,l,c,b,k,s,s,w,w,p,n,s,m,e
x,t,l,c,b,g,s,s,w,w,p,n,n,m,e
f,t,a,c,b,p,s,y,w,w,p,k,y,g,e
x,f,n,w,b,n,s,s,w,w,e,n,s,g,e
x,t,l,c,b,w,s,s,w,w,p,k,s,g,e
x,t,p,c,n,n,s,s,w,w,p,n,v,g,p
x,t,l,c,b,n,s,s,w,w,p,k,s,g,e
x,t,a,w,n,p,s,s,w,w,p,n,v,d,e
b,t,a,c,b,g,s,s,w,w,p,n,n,g,e
x,t,p,c,n,k,s,s,w,w,p,k,v,u,p
x,t,a,w,n,w,s,s,w,w,p,n,v,d,e
x,t,a,c,b,k,s,s,w,w,p,k,n,m,e
x,t,l,w,n,n,s,s,w,w,p,n,v,d,e
f,t,l,w,n,w,s,s,w,w,p,n,v,d,e
x,t,l,c,b,k,s,s,w,w,p,n,s,m,e
f,t,a,w,n,w,s,s,w,w,p,u,v,d,e
x,t,a,c,b,w,s,s,w,w,p,k,s,g,e
b,t,a,c,b,n,s,s,w,w,p,k,s,m,e
x,t,l,c,b,p,s,y,w,w,p,n,s,p,e
b,t,l,c,b,k,s,s,w,w,p,k,n,g,e
x,t,a,c,b,n,s,s,w,w,p,n,s,m,e
x,t,p,c,n,n,s,s,w,w,p,n,v,u,p
b,t,l,c,b,w,s,s,w,w,p,k,n,g,e
b,t,a,c,b,g,s,s,w,w,p,k,n,g,e
x,t,p,c,n,w,s,s,w,w,p,k,v,u,p
b,t,l,c,b,n,s,s,w,w,p,k,s,m,e
b,t,l,c,b,w,s,s,w,w,p,n,n,m,e
b,t,a,c,b,n,s,s,w,w,p,k,s,g,e
x,t,l,c,b,g,s,s,w,w,p,n,n,g,e
x,t,n,c,b,p,s,s,p,w,p,k,y,d,e
x,t,a,c,b,w,s,y,w,w,p,k,y,g,e
b,t,l,c,b,n,s,s,w,w,p,n,s,g,e
x,f,n,c,n,g,s,s,w,w,p,n,v,u,e
x,t,l,c,b,n,s,y,w,w,p,k,y,g,e
x,t,a,c,b,k,s,s,w,w,p,n,s,g,e
b,t,a,c,b,n,s,s,w,w,p,k,n,g,e
x,t,a,c,b,g,s,s,w,w,p,k,s,m,e
f,t,a,w,n,p,s,s,w,w,p,n,v,d,e
b,t,l,c,b,g,s,s,w,w,p,n,s,g,e
x,f,n,w,b,n,s,f,w,w,e,n,a,g,e
x,t,l,w,n,n,s,s,w,w,p,n,v,d,e
x,t,a,c,b,n,s,s,w,w,p,n,n,m,e
f,f,n,w,b,n,s,f,w,w,e,k,s,g,e
x,f,n,c,n,g,s,s,w,w,p,n,y,u,e
f,f,n,w,b,h,f,f,w,w,e,n,a,g,e
f,t,a,c,b,p,s,y,w,w,p,n,s,p,e
b,t,a,c,b,k,s,s,w,w,p,n,s,g,e
b,t,a,c,b,k,s,s,w,w,p,k,s,m,e
x,t,l,c,b,w,s,y,w,w,p,k,s,p,e
s,f,n,c,n,g,s,s,w,w,p,n,v,u,e
f,t,a,c,b,p,s,y,w,w,p,n,y,p,e
x,t,p,c,n,k,s,s,w,w,p,k,s,u,p
x,t,a,c,b,p,s,y,w,w,p,n,y,p,e
x,t,a,c,b,w,s,s,w,w,p,n,s,g,e
x,f,n,w,b,h,s,f,w,w,e,n,s,g,e
x,f,n,w,b,p,f,f,w,w,e,k,a,g,e
f,f,n,w,b,k,f,s,w,w,e,k,a,g,e
f,t,a,c,b,n,s,y,w,w,p,n,s,p,e
x,t,a,c,b,w,s,s,w,w,p,k,n,g,e
f,f,n,c,n,p,s,s,w,w,p,k,v,u,e
x,t,a,c,b,w,s,y,w,w,p,n,s,p,e
x,t,a,w,n,p,s,s,w,w,p,u,v,d,e
b,t,a,c,b,g,s,s,w,w,p,n,n,g,e
x,f,n,w,b,n,s,s,w,w,e,k,s,g,e
x,t,a,c,b,w,s,y,w,w,p,n,s,g,e
f,t,l,c,b,n,s,y,w,w,p,k,y,g,e
x,t,a,c,b,w,s,s,w,w,p,k,s,m,e
s,f,n,c,n,n,s,s,w,w,p,n,y,u,e
x,t,a,c,b,k,s,s,w,w,p,k,s,m,e
b,t,l,c,b,n,s,s,w,w,p,k,n,g,e
s,f,n,c,n,k,s,s,w,w,p,k,y,u,e
b,t,l,c,b,n,s,s,w,w,p,n,n,m,e
x,t,l,c,b,k,s,s,w,w,p,n,n,g,e
b,t,a,c,b,k,s,s,w,w,p,n,s,g,e
x,t,p,c,n,p,s,s,w,w,p,k,s,u,p
x,f,n,w,b,k,f,s,w,w,e,n,s,g,e
x,t,a,c,b,w,s,s,w,w,p,k,s,m,e
b,t,a,c,b,g,s,s,w,w,p,n,n,g,e
x,t,n,c,b,n,s,s,g,w,p,n,y,d,e
x,t,p,c,n,w,s,s,w,w,p,n,s,u,p
x,t,l,c,b,w,s,y,w,w,p,k,y,p,e
x,f,n,w,b,n,s,s,w,w,e,k,a,g,e
b,t,l,c,b,n,s,s,w,w,p,k,n,m,e
x,t,a,c,b,w,s,s,w,w,p,n,n,m,e
b,t,a,c,b,n,s,s,w,w,p,n,s,m,e
x,t,l,c,b,g,s,s,w,w,p,k,n,m,e
b,t,a,c,b,n,s,s,w,w,p,n,n,g,e
x,f,n,c,n,k,s,s,w,w,p,n,v,u,e
f,t,a,c,b,w,s,y,w,w,p,k,s,g,e
x,f,n,w,b,h,f,f,w,w,e,n,a,g,e
x,t,l,c,b,k,s,s,w,w,p,n,n,m,e
x,t,l,c,b,w,s,s,w,w,p,n,s,m,e
x,f,n,c,n,n,s,s,w,w,p,k,v,u,e
x,t,p,c,n,p,s,s,w,w,p,n,s,u,p
b,t,l,c,b,w,s,s,w,w,p,n,n,g,e
b,t,a,c,b,n,s,s,w,w,p,k,n,m,e
x,t,p,c,n,p,s,s,w,w,p,n,v,u,p
b,t,l,c,b,w,s,s,w,w,p,n,s,m,e
x,t,l,c,b,k,s,s,w,w,p,n,s,m,e
x,t,l,c,b,n,s,s,w,w,p,k,s,m,e
b,t,l,c,b,n,s,s,w,w,p,n,n,g,e
x,t,a,c,b,g,s,s,w,w,p,n,s,m,e
x,t,a,c,b,g,s,s,w,w,p,k,s,g,e
x,t,l,c,b,w,s,y,w,w,p,n,y,p,e
x,t,a,c,b,w,s,s,w,w,p,n,s,m,e
x,f,n,w,b,n,f,f,w,w,e,k,s,g,e
x,t,l,c,b,n,s,y,w,w,p,n,s,p,e
x,t,l,c,b,n,s,y,w,w,p,k,y,g,e
x,t,p,c,n,k,s,s,w,w,p,k,v,g,p
b,t,a,c,b,w,s,s,w,w,p,n,n,g,e
x,t,l,w,n,p,s,s,w,w,p,u,v,d,e
x,t,p,c,n,w,s,s,w,w,p,k,s,u,p
x,t,l,c,b,k,s,s,w,w,p,k,n,g,e
f,f,n,w,b,h,f,f,w,w,e,n,a,g,e
x,t,l,c,b,n,s,s,w,w,p,k,s,g,e
b,t,a,c,b,w,s,s,w,w,p,n,s,m,e
x,t,p,c,n,p,s,s,w,w,p,n,s,u,p
f,t,l,c,b,w,s,y,w,w,p,k,s,g,e
x,t,l,c,b,n,s,s,w,w,p,n,n,m,e
x,t,a,w,n,n,s,s,w,w,p,n,v,d,e
f,t,a,c,b,n,s,y,w,w,p,n,y,p,e
b,t,a,c,b,k,s,s,w,w,p,n,n,m,e
x,f,n,w,b,p,f,f,w,w,e,k,a,g,e
f,f,n,c,n,n,s,s,w,w,p,n,v,u,e
x,t,a,c,b,g,s,s,w,w,p,n,s,g,e
x,t,l,c,b,n,s,y,w,w,p,n,y,g,e
b,t,l,c,b,g,s,s,w,w,p,n,s,g,e
b,t,l,c,b,w,s,s,w,w,p,k,s,g,e
f,t,l,w,n,n,s,s,w,w,p,n,v,d,e
b,t,a,c,b,w,s,s,w,w,p,k,n,m,e
x,t,a,w,n,n,s,s,w,w,p,u,v,d,e
