@relation 'waveform-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R42-43-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R1-3,18-40'

@attribute x4 {'\'(-inf-0.286592]\'','\'(0.286592-0.409497]\'','\'(0.409497-0.512291]\'','\'(0.512291-0.607263]\'','\'(0.607263-inf)\''}
@attribute x5 {'\'(-inf-0.32922]\'','\'(0.32922-0.416091]\'','\'(0.416091-0.487167]\'','\'(0.487167-0.562192]\'','\'(0.562192-0.621422]\'','\'(0.621422-inf)\''}
@attribute x6 {'\'(-inf-0.31086]\'','\'(0.31086-0.373303]\'','\'(0.373303-0.468326]\'','\'(0.468326-0.540724]\'','\'(0.540724-0.661991]\'','\'(0.661991-inf)\''}
@attribute x7 {'\'(-inf-0.27087]\'','\'(0.27087-0.371739]\'','\'(0.371739-0.436957]\'','\'(0.436957-0.474348]\'','\'(0.474348-0.52913]\'','\'(0.52913-0.58913]\'','\'(0.58913-inf)\''}
@attribute x8 {'\'(-inf-0.376339]\'','\'(0.376339-0.425998]\'','\'(0.425998-0.494158]\'','\'(0.494158-0.535054]\'','\'(0.535054-0.583739]\'','\'(0.583739-0.65482]\'','\'(0.65482-0.722006]\'','\'(0.722006-inf)\''}
@attribute x9 {'\'(-inf-0.379041]\'','\'(0.379041-0.498957]\'','\'(0.498957-0.634515]\'','\'(0.634515-0.713764]\'','\'(0.713764-inf)\''}
@attribute x10 {'\'(-inf-0.278184]\'','\'(0.278184-0.388831]\'','\'(0.388831-0.48904]\'','\'(0.48904-0.563152]\'','\'(0.563152-0.692589]\'','\'(0.692589-inf)\''}
@attribute x11 {'\'(-inf-0.328142]\'','\'(0.328142-0.45811]\'','\'(0.45811-0.59667]\'','\'(0.59667-inf)\''}
@attribute x12 {'\'(-inf-0.310543]\'','\'(0.310543-0.418058]\'','\'(0.418058-0.481733]\'','\'(0.481733-0.526618]\'','\'(0.526618-0.598643]\'','\'(0.598643-0.672756]\'','\'(0.672756-inf)\''}
@attribute x13 {'\'(-inf-0.333874]\'','\'(0.333874-0.443182]\'','\'(0.443182-0.535173]\'','\'(0.535173-0.566558]\'','\'(0.566558-0.655303]\'','\'(0.655303-0.832792]\'','\'(0.832792-inf)\''}
@attribute x14 {'\'(-inf-0.36808]\'','\'(0.36808-0.459775]\'','\'(0.459775-0.512543]\'','\'(0.512543-0.562716]\'','\'(0.562716-0.614619]\'','\'(0.614619-inf)\''}
@attribute x15 {'\'(-inf-0.243544]\'','\'(0.243544-0.321015]\'','\'(0.321015-0.403829]\'','\'(0.403829-0.440338]\'','\'(0.440338-0.491095]\'','\'(0.491095-0.572128]\'','\'(0.572128-inf)\''}
@attribute x16 {'\'(-inf-0.259452]\'','\'(0.259452-0.324669]\'','\'(0.324669-0.38327]\'','\'(0.38327-0.440926]\'','\'(0.440926-0.522212]\'','\'(0.522212-0.590265]\'','\'(0.590265-inf)\''}
@attribute x17 {'\'(-inf-0.342279]\'','\'(0.342279-0.421375]\'','\'(0.421375-0.491055]\'','\'(0.491055-0.544727]\'','\'(0.544727-0.607815]\'','\'(0.607815-inf)\''}
@attribute class {0,1,2}

@data
'\'(0.512291-0.607263]\'','\'(0.416091-0.487167]\'','\'(0.540724-0.661991]\'','\'(0.52913-0.58913]\'','\'(0.65482-0.722006]\'','\'(0.713764-inf)\'','\'(0.563152-0.692589]\'','\'(0.45811-0.59667]\'','\'(0.526618-0.598643]\'','\'(-inf-0.333874]\'','\'(-inf-0.36808]\'','\'(0.321015-0.403829]\'','\'(0.259452-0.324669]\'','\'(-inf-0.342279]\'',1
'\'(0.286592-0.409497]\'','\'(0.416091-0.487167]\'','\'(0.468326-0.540724]\'','\'(0.371739-0.436957]\'','\'(0.535054-0.583739]\'','\'(0.498957-0.634515]\'','\'(0.48904-0.563152]\'','\'(0.59667-inf)\'','\'(0.672756-inf)\'','\'(0.832792-inf)\'','\'(0.614619-inf)\'','\'(0.403829-0.440338]\'','\'(0.324669-0.38327]\'','\'(0.421375-0.491055]\'',2
'\'(0.512291-0.607263]\'','\'(0.621422-inf)\'','\'(0.661991-inf)\'','\'(0.58913-inf)\'','\'(0.65482-0.722006]\'','\'(0.713764-inf)\'','\'(0.278184-0.388831]\'','\'(-inf-0.328142]\'','\'(0.310543-0.418058]\'','\'(-inf-0.333874]\'','\'(-inf-0.36808]\'','\'(0.321015-0.403829]\'','\'(-inf-0.259452]\'','\'(0.544727-0.607815]\'',0
'\'(0.286592-0.409497]\'','\'(0.32922-0.416091]\'','\'(0.540724-0.661991]\'','\'(0.58913-inf)\'','\'(0.425998-0.494158]\'','\'(-inf-0.379041]\'','\'(-inf-0.278184]\'','\'(-inf-0.328142]\'','\'(0.418058-0.481733]\'','\'(0.333874-0.443182]\'','\'(0.36808-0.459775]\'','\'(0.440338-0.491095]\'','\'(0.38327-0.440926]\'','\'(0.544727-0.607815]\'',0
'\'(0.409497-0.512291]\'','\'(0.487167-0.562192]\'','\'(0.373303-0.468326]\'','\'(0.436957-0.474348]\'','\'(0.494158-0.535054]\'','\'(-inf-0.379041]\'','\'(-inf-0.278184]\'','\'(-inf-0.328142]\'','\'(0.418058-0.481733]\'','\'(0.443182-0.535173]\'','\'(0.36808-0.459775]\'','\'(0.321015-0.403829]\'','\'(0.440926-0.522212]\'','\'(0.607815-inf)\'',0
'\'(0.286592-0.409497]\'','\'(0.416091-0.487167]\'','\'(-inf-0.31086]\'','\'(0.27087-0.371739]\'','\'(-inf-0.376339]\'','\'(-inf-0.379041]\'','\'(0.278184-0.388831]\'','\'(0.328142-0.45811]\'','\'(0.481733-0.526618]\'','\'(0.655303-0.832792]\'','\'(0.614619-inf)\'','\'(0.491095-0.572128]\'','\'(0.590265-inf)\'','\'(0.607815-inf)\'',2
'\'(0.409497-0.512291]\'','\'(0.416091-0.487167]\'','\'(0.540724-0.661991]\'','\'(0.58913-inf)\'','\'(0.65482-0.722006]\'','\'(0.713764-inf)\'','\'(0.563152-0.692589]\'','\'(0.59667-inf)\'','\'(0.526618-0.598643]\'','\'(0.443182-0.535173]\'','\'(0.36808-0.459775]\'','\'(0.321015-0.403829]\'','\'(0.324669-0.38327]\'','\'(0.342279-0.421375]\'',1
'\'(0.286592-0.409497]\'','\'(0.416091-0.487167]\'','\'(0.373303-0.468326]\'','\'(-inf-0.27087]\'','\'(-inf-0.376339]\'','\'(0.379041-0.498957]\'','\'(0.388831-0.48904]\'','\'(0.45811-0.59667]\'','\'(0.526618-0.598643]\'','\'(0.566558-0.655303]\'','\'(0.36808-0.459775]\'','\'(0.572128-inf)\'','\'(0.38327-0.440926]\'','\'(0.607815-inf)\'',2
'\'(0.286592-0.409497]\'','\'(0.416091-0.487167]\'','\'(0.468326-0.540724]\'','\'(0.27087-0.371739]\'','\'(0.425998-0.494158]\'','\'(-inf-0.379041]\'','\'(0.48904-0.563152]\'','\'(0.328142-0.45811]\'','\'(0.481733-0.526618]\'','\'(0.535173-0.566558]\'','\'(0.562716-0.614619]\'','\'(0.491095-0.572128]\'','\'(0.590265-inf)\'','\'(0.544727-0.607815]\'',0
'\'(0.409497-0.512291]\'','\'(-inf-0.32922]\'','\'(0.31086-0.373303]\'','\'(0.371739-0.436957]\'','\'(0.376339-0.425998]\'','\'(0.634515-0.713764]\'','\'(0.563152-0.692589]\'','\'(0.59667-inf)\'','\'(0.672756-inf)\'','\'(0.535173-0.566558]\'','\'(0.614619-inf)\'','\'(0.572128-inf)\'','\'(0.522212-0.590265]\'','\'(0.491055-0.544727]\'',2
'\'(0.286592-0.409497]\'','\'(-inf-0.32922]\'','\'(0.468326-0.540724]\'','\'(0.27087-0.371739]\'','\'(-inf-0.376339]\'','\'(-inf-0.379041]\'','\'(0.388831-0.48904]\'','\'(-inf-0.328142]\'','\'(0.310543-0.418058]\'','\'(0.655303-0.832792]\'','\'(0.614619-inf)\'','\'(0.572128-inf)\'','\'(0.590265-inf)\'','\'(0.607815-inf)\'',0
'\'(0.512291-0.607263]\'','\'(0.487167-0.562192]\'','\'(0.540724-0.661991]\'','\'(0.58913-inf)\'','\'(0.583739-0.65482]\'','\'(0.713764-inf)\'','\'(0.563152-0.692589]\'','\'(0.45811-0.59667]\'','\'(-inf-0.310543]\'','\'(-inf-0.333874]\'','\'(-inf-0.36808]\'','\'(0.440338-0.491095]\'','\'(-inf-0.259452]\'','\'(0.342279-0.421375]\'',1
'\'(0.607263-inf)\'','\'(0.416091-0.487167]\'','\'(0.540724-0.661991]\'','\'(0.27087-0.371739]\'','\'(0.376339-0.425998]\'','\'(0.498957-0.634515]\'','\'(0.278184-0.388831]\'','\'(-inf-0.328142]\'','\'(0.418058-0.481733]\'','\'(0.566558-0.655303]\'','\'(0.562716-0.614619]\'','\'(0.491095-0.572128]\'','\'(0.522212-0.590265]\'','\'(0.491055-0.544727]\'',0
'\'(0.607263-inf)\'','\'(0.487167-0.562192]\'','\'(0.540724-0.661991]\'','\'(0.474348-0.52913]\'','\'(0.583739-0.65482]\'','\'(0.713764-inf)\'','\'(0.563152-0.692589]\'','\'(0.45811-0.59667]\'','\'(0.418058-0.481733]\'','\'(0.333874-0.443182]\'','\'(0.459775-0.512543]\'','\'(-inf-0.243544]\'','\'(0.324669-0.38327]\'','\'(0.421375-0.491055]\'',1
'\'(0.607263-inf)\'','\'(0.487167-0.562192]\'','\'(0.373303-0.468326]\'','\'(0.58913-inf)\'','\'(0.425998-0.494158]\'','\'(0.379041-0.498957]\'','\'(-inf-0.278184]\'','\'(0.328142-0.45811]\'','\'(-inf-0.310543]\'','\'(0.535173-0.566558]\'','\'(-inf-0.36808]\'','\'(0.321015-0.403829]\'','\'(0.522212-0.590265]\'','\'(0.607815-inf)\'',0
'\'(0.409497-0.512291]\'','\'(0.32922-0.416091]\'','\'(0.540724-0.661991]\'','\'(0.371739-0.436957]\'','\'(0.583739-0.65482]\'','\'(0.634515-0.713764]\'','\'(0.692589-inf)\'','\'(0.59667-inf)\'','\'(0.526618-0.598643]\'','\'(0.443182-0.535173]\'','\'(0.36808-0.459775]\'','\'(0.440338-0.491095]\'','\'(0.259452-0.324669]\'','\'(0.342279-0.421375]\'',1
'\'(0.409497-0.512291]\'','\'(0.487167-0.562192]\'','\'(0.373303-0.468326]\'','\'(0.474348-0.52913]\'','\'(0.425998-0.494158]\'','\'(0.379041-0.498957]\'','\'(0.278184-0.388831]\'','\'(-inf-0.328142]\'','\'(0.418058-0.481733]\'','\'(0.566558-0.655303]\'','\'(0.36808-0.459775]\'','\'(0.321015-0.403829]\'','\'(0.590265-inf)\'','\'(0.544727-0.607815]\'',0
'\'(-inf-0.286592]\'','\'(0.32922-0.416091]\'','\'(-inf-0.31086]\'','\'(-inf-0.27087]\'','\'(0.535054-0.583739]\'','\'(-inf-0.379041]\'','\'(0.278184-0.388831]\'','\'(-inf-0.328142]\'','\'(0.598643-0.672756]\'','\'(0.655303-0.832792]\'','\'(0.459775-0.512543]\'','\'(0.491095-0.572128]\'','\'(0.259452-0.324669]\'','\'(0.544727-0.607815]\'',2
'\'(-inf-0.286592]\'','\'(0.32922-0.416091]\'','\'(0.373303-0.468326]\'','\'(0.52913-0.58913]\'','\'(0.583739-0.65482]\'','\'(0.379041-0.498957]\'','\'(0.692589-inf)\'','\'(0.59667-inf)\'','\'(0.598643-0.672756]\'','\'(0.655303-0.832792]\'','\'(0.36808-0.459775]\'','\'(0.440338-0.491095]\'','\'(0.259452-0.324669]\'','\'(0.421375-0.491055]\'',2
'\'(0.409497-0.512291]\'','\'(0.621422-inf)\'','\'(0.661991-inf)\'','\'(0.52913-0.58913]\'','\'(0.65482-0.722006]\'','\'(0.634515-0.713764]\'','\'(0.563152-0.692589]\'','\'(0.45811-0.59667]\'','\'(0.598643-0.672756]\'','\'(0.333874-0.443182]\'','\'(-inf-0.36808]\'','\'(-inf-0.243544]\'','\'(0.259452-0.324669]\'','\'(-inf-0.342279]\'',1
'\'(0.409497-0.512291]\'','\'(0.416091-0.487167]\'','\'(-inf-0.31086]\'','\'(0.27087-0.371739]\'','\'(-inf-0.376339]\'','\'(-inf-0.379041]\'','\'(0.278184-0.388831]\'','\'(-inf-0.328142]\'','\'(0.418058-0.481733]\'','\'(0.443182-0.535173]\'','\'(0.459775-0.512543]\'','\'(0.572128-inf)\'','\'(0.590265-inf)\'','\'(0.607815-inf)\'',0
'\'(0.409497-0.512291]\'','\'(-inf-0.32922]\'','\'(0.31086-0.373303]\'','\'(-inf-0.27087]\'','\'(-inf-0.376339]\'','\'(-inf-0.379041]\'','\'(0.278184-0.388831]\'','\'(0.45811-0.59667]\'','\'(0.598643-0.672756]\'','\'(0.535173-0.566558]\'','\'(0.614619-inf)\'','\'(0.572128-inf)\'','\'(0.590265-inf)\'','\'(0.607815-inf)\'',2
